image_name blink head_pose_yaw_angle head_pose_pitch_angle head_pose_roll_angle left_eye_horizontal_position left_eye_vertical_position right_eye_horizontal_position right_eye_vertical_position
75.jpg False 2.181 -11.304 -1.624 0.00042 0.01284 0.01076 0.00077
76.jpg False 1.314 -11.377 -1.370 0.00664 0.01191 0.01860 0.00649
77.jpg False 0.910 -11.456 -1.131 0.01161 0.00874 0.02437 0.00926
78.jpg False 0.832 -11.479 -0.971 0.01378 0.00795 0.02773 0.01122
79.jpg False 0.927 -11.542 -0.873 0.01331 0.00746 0.02928 0.01234
80.jpg False 1.084 -11.635 -0.843 0.00944 0.01115 0.02734 0.01586
81.jpg False 1.268 -11.751 -0.845 0.00546 0.01521 0.02332 0.01957
82.jpg False 1.428 -11.898 -0.897 0.00056 0.02072 0.01504 0.02720
83.jpg False 1.544 -12.016 -0.950 -0.00229 0.02705 0.00728 0.03628
84.jpg False 1.637 -12.251 -1.069 -0.00319 0.03283 -0.00160 0.04549
85.jpg False 1.771 -12.623 -1.194 -0.00267 0.03829 -0.00841 0.05356
86.jpg False 1.909 -13.255 -1.331 -0.00163 0.03952 -0.01509 0.05667
87.jpg False 2.035 -14.054 -1.441 0.00236 0.04331 -0.02091 0.06226
88.jpg False 2.175 -15.184 -1.552 0.00755 0.04364 -0.02603 0.06378
89.jpg False 2.340 -16.672 -1.592 0.01311 0.04140 -0.02826 0.06075
90.jpg False 2.439 -18.526 -1.590 0.02291 0.03696 -0.03078 0.05248
91.jpg False 2.508 -20.701 -1.583 0.03432 0.02978 -0.03044 0.04463
92.jpg False 2.643 -23.046 -1.570 0.04075 0.01168 -0.02795 0.02503
93.jpg False 2.795 -25.384 -1.520 0.04234 -0.01149 -0.02454 -0.00065
94.jpg False 2.941 -27.500 -1.443 0.04361 -0.03555 -0.01987 -0.02594
95.jpg False 3.085 -29.276 -1.354 0.04142 -0.06010 -0.01487 -0.05119
96.jpg False 3.255 -30.618 -1.246 0.03719 -0.07754 -0.01228 -0.07615
97.jpg False 3.383 -31.653 -1.164 0.03583 -0.08826 -0.00925 -0.09243
98.jpg False 3.481 -32.311 -1.104 0.03647 -0.09561 -0.00648 -0.10378
99.jpg False 3.549 -32.686 -1.074 0.03525 -0.09663 -0.00667 -0.10630
100.jpg False 3.620 -32.784 -1.073 0.03496 -0.09375 -0.00906 -0.10311
101.jpg False 3.658 -32.724 -1.102 0.03473 -0.09344 -0.01079 -0.09536
102.jpg False 3.676 -32.477 -1.187 0.03177 -0.09681 -0.01202 -0.09290
103.jpg False 3.773 -32.066 -1.288 0.02799 -0.09681 -0.01457 -0.09039
104.jpg False 3.944 -31.421 -1.391 0.02356 -0.10562 -0.01253 -0.09495
105.jpg False 4.184 -30.442 -1.497 0.01641 -0.11862 -0.00714 -0.10048
106.jpg False 4.491 -29.068 -1.598 0.01018 -0.12697 -0.00215 -0.10718
107.jpg False 4.759 -27.384 -1.655 0.00619 -0.13122 0.00336 -0.10718
108.jpg False 4.941 -25.356 -1.694 0.00564 -0.12287 0.01434 -0.09035
109.jpg False 4.923 -23.032 -1.712 0.00838 -0.11073 0.02438 -0.07504
110.jpg False 4.730 -20.630 -1.721 0.01261 -0.09067 0.03273 -0.05898
111.jpg False 4.438 -18.241 -1.741 0.01843 -0.06941 0.04037 -0.03913
112.jpg False 4.125 -15.842 -1.766 0.02337 -0.04571 0.04317 -0.02068
113.jpg False 3.752 -13.583 -1.824 0.02731 -0.03593 0.04142 -0.01720
114.jpg False 3.465 -11.418 -1.912 0.03242 -0.02217 0.03883 -0.00972
